id_uav,n_segmentos,num_episodes,learning_rate,discount_rate,fail
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,False
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,False
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
0,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,False
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
1,10,200,0.8,0.1,True
