n_segmentos,num_episodes,learning_rate,discount_rate,fail
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.1,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.2,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
20,100,0.1,0.3,True
