4,11,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,17,18,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,17,18,27,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,16,12,18,14,21,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,11,16,12,18,14,21,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,7,14,8,15,11,16,17,18,27,33,0,0,0,0,0,0,0,0,0,0,0,0
10,11,11,16,12,18,14,21,15,16,17,18,32,33,0,0,0,0,0,0,0,0,0,0
10,11,11,16,12,18,14,21,15,16,17,18,27,33,0,0,0,0,0,0,0,0,0,0
2,3,4,11,13,20,16,21,16,22,17,18,24,32,29,30,0,0,0,0,0,0,0,0
2,3,4,11,13,18,16,21,16,22,17,18,24,32,28,29,31,32,0,0,0,0,0,0
1,7,5,6,10,11,11,16,13,18,15,16,16,21,17,18,27,33,29,30,0,0,0,0
1,7,4,11,8,15,10,11,13,18,16,21,16,22,17,18,24,32,29,30,31,32,0,0
1,7,5,6,8,15,10,11,11,16,13,18,16,21,16,22,17,18,24,32,29,30,31,32
